sep=,
DeviceTag:,2
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_088 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
90,2270489026,-165.149933,-85.292938,76.292900,-0.062279,0.060607,-0.031351,0
91,2270505693,-165.327484,-85.258972,76.472626,-0.141175,0.072007,0.098128,0
92,2270522360,-165.336197,-85.225128,76.514656,-0.020017,-0.029523,0.101356,0
93,2270539027,-165.337387,-85.197594,76.565033,-0.012578,-0.179187,0.057472,0
94,2270555694,-165.314529,-85.175819,76.598114,-0.028566,-0.109534,0.085699,0
95,2270572361,-165.245819,-85.161789,76.584755,-0.027782,-0.068312,0.048298,0
96,2270589028,-165.132828,-85.160461,76.518532,0.007099,-0.020131,0.100055,0
97,2270605695,-164.998352,-85.185745,76.376625,-0.019811,-0.114469,0.034311,0
98,2270622362,-164.792221,-85.211205,76.184448,-0.060948,-0.107228,0.141043,0
99,2270639029,-164.570038,-85.245277,75.974220,-0.017025,0.015772,0.058405,0
100,2270655696,-164.328094,-85.278267,75.733536,0.019361,-0.056668,0.080252,0
101,2270672363,-164.030045,-85.320190,75.449333,-0.017387,-0.107834,0.061595,0
102,2270689030,-163.704285,-85.368958,75.141342,-0.052603,-0.041114,0.037931,0
103,2270705697,-163.440918,-85.416962,74.873611,-0.050505,0.014662,0.001003,0
104,2270722364,-163.221375,-85.453346,74.657684,-0.105134,-0.009637,0.066108,0
105,2270739031,-162.998123,-85.486122,74.444351,-0.082292,-0.032927,0.039178,0
106,2270755698,-162.827881,-85.504814,74.287445,0.013987,0.005936,-0.005895,0
107,2270772365,-162.652603,-85.518875,74.120811,-0.020621,-0.012807,0.008528,0
108,2270789032,-162.532181,-85.529984,74.008919,-0.045347,0.087311,0.033024,0
109,2270805699,-162.450607,-85.553185,73.908058,-0.064330,0.042228,0.070983,0
110,2270822366,-162.368027,-85.566864,73.803825,-0.017616,-0.049222,0.018733,0
111,2270839033,-162.422852,-85.572159,73.816277,-0.065245,-0.032551,-0.006214,0
112,2270855700,-162.555634,-85.568626,73.924065,-0.132543,-0.106400,0.028768,0
113,2270872367,-162.792755,-85.566154,74.129181,-0.048367,0.010729,0.046635,0
114,2270889034,-163.114105,-85.563858,74.389862,-0.056868,0.013954,0.004395,0
115,2270905701,-163.414566,-85.551163,74.668861,-0.144920,-0.054401,0.008033,0
116,2270922368,-163.684738,-85.529816,74.949219,-0.082457,0.032012,0.053722,0
117,2270939035,-164.002426,-85.505951,75.256371,-0.027545,-0.031826,0.059161,0
118,2270955702,-164.266983,-85.481087,75.528511,-0.068008,-0.050045,0.035987,0
119,2270972369,-164.460251,-85.460762,75.734703,-0.035164,-0.074138,0.053658,0
120,2270989036,-164.563156,-85.449211,75.858269,0.036524,-0.027208,0.040328,0
121,2271005703,-164.632217,-85.440010,75.928368,-0.010968,-0.052520,0.091042,0
122,2271022370,-164.613495,-85.438889,75.939339,-0.057423,-0.087652,0.030228,0
123,2271039037,-164.506012,-85.432365,75.890747,0.048473,-0.110777,0.049331,0
124,2271055704,-164.440781,-85.428001,75.842911,-0.003283,-0.010350,0.016093,0
125,2271072371,-164.281631,-85.428429,75.712624,-0.101925,-0.020230,0.206630,0
126,2271089038,-164.160751,-85.431259,75.612854,0.045715,0.024045,-0.012364,0
127,2271105705,-164.087402,-85.438210,75.522072,-0.074496,-0.027186,0.031938,0
128,2271122372,-163.922745,-85.450241,75.375397,-0.087925,-0.089356,0.138630,0
129,2271139039,-163.847000,-85.467583,75.314400,0.002428,-0.070723,0.041212,0
130,2271155706,-163.870468,-85.488724,75.330200,-0.062363,-0.126117,0.060844,0
131,2271172373,-163.926483,-85.515900,75.384277,-0.082451,0.019355,0.066137,0
132,2271189040,-164.010910,-85.541748,75.466515,-0.035632,-0.023445,0.074080,0
133,2271205707,-164.150986,-85.565704,75.596375,0.011503,-0.053955,0.046244,0
134,2271222374,-164.258820,-85.584618,75.696953,-0.011858,-0.026982,0.036592,0
135,2271239041,-164.263504,-85.596024,75.699417,-0.023686,0.041623,0.094895,0
136,2271255708,-164.173386,-85.602028,75.617699,-0.028422,0.035732,0.068944,0
137,2271272375,-164.049225,-85.595497,75.512917,-0.052831,0.010833,0.039503,0
138,2271289042,-163.950027,-85.580933,75.423279,-0.022426,-0.007794,-0.030805,0
139,2271305709,-163.983688,-85.553886,75.458786,-0.083342,-0.022315,-0.007022,0
140,2271322376,-164.100220,-85.521667,75.580002,-0.185954,0.019642,0.067680,0
141,2271339043,-164.216995,-85.483521,75.742630,-0.162299,0.002727,0.065820,0
142,2271355710,-164.288696,-85.447754,75.890305,-0.057808,0.031021,0.056415,0
143,2271372377,-164.311096,-85.418755,75.951988,-0.041934,0.097433,0.039474,0
144,2271389044,-164.317230,-85.381790,76.009071,-0.028523,0.000217,0.006094,0
145,2271405711,-164.269180,-85.342087,76.007233,-0.037083,-0.012498,0.041152,0
146,2271422378,-164.193817,-85.301559,75.967339,-0.033048,0.009805,0.047205,0
147,2271439045,-164.160583,-85.259880,75.964516,-0.055427,-0.042424,0.082902,0
148,2271455712,-164.171310,-85.214470,76.004150,-0.042346,-0.077893,0.022247,0
149,2271472379,-164.253754,-85.165688,76.104660,-0.023241,-0.063067,0.027702,0
150,2271489046,-164.318787,-85.121193,76.175499,-0.105840,-0.011832,0.118662,0
151,2271505713,-164.361984,-85.079407,76.242355,-0.039962,0.006947,0.009622,0
152,2271522380,-164.396210,-85.032021,76.314735,-0.090018,-0.147189,0.045315,0
153,2271539047,-164.289520,-84.994141,76.273354,0.030130,-0.034927,0.111048,0
154,2271555714,-164.188065,-84.965576,76.182541,0.001111,-0.020512,0.083606,0
155,2271572381,-163.908325,-84.932098,75.965256,-0.133386,-0.136306,0.108586,0
156,2271589048,-163.485947,-84.902229,75.637154,-0.006544,0.043609,0.072533,0
157,2271605715,-163.125519,-84.874023,75.337753,-0.001955,-0.001338,0.011895,0
158,2271622382,-162.809555,-84.837524,75.080559,-0.017760,0.012471,-0.032630,0
159,2271639049,-162.446579,-84.802803,74.761421,-0.032659,0.093780,0.113399,0
160,2271655716,-162.142242,-84.774384,74.473381,-0.033558,0.082220,0.078007,0
161,2271672383,-161.889999,-84.748650,74.252548,-0.034370,-0.071078,0.013883,0
162,2271689050,-161.722351,-84.728569,74.100327,-0.046278,-0.024385,-0.050235,0
163,2271705717,-161.680405,-84.708649,74.047684,-0.101662,-0.078798,0.014832,0
164,2271722384,-161.708405,-84.691643,74.096436,-0.124406,-0.150133,0.034518,0
165,2271739051,-161.804733,-84.678444,74.214409,-0.040010,-0.058473,0.027535,0
166,2271755718,-161.946579,-84.672188,74.351830,-0.033980,-0.089928,0.114927,0
167,2271772385,-162.125381,-84.668587,74.532494,-0.030109,-0.084826,0.033431,0
168,2271789052,-162.368973,-84.667259,74.753433,-0.024118,-0.010764,-0.027143,0
169,2271805719,-162.587952,-84.668655,74.938461,-0.045007,-0.004159,0.128617,0
170,2271822386,-162.757294,-84.683006,75.077797,-0.086440,0.014295,0.158661,0
171,2271839053,-162.893173,-84.699249,75.199463,-0.006477,-0.055017,-0.033397,0
172,2271855720,-162.935196,-84.711906,75.249878,-0.015238,-0.099483,0.115054,0
173,2271872387,-162.918320,-84.730469,75.220795,0.071009,0.029138,-0.004282,0
174,2271889054,-162.896057,-84.740822,75.172806,-0.032539,-0.065011,0.084254,0
175,2271905721,-162.775375,-84.755745,75.043770,-0.071718,0.036301,0.094988,0
176,2271922388,-162.647751,-84.765282,74.919159,0.007772,0.007017,0.020104,0
177,2271939055,-162.485779,-84.770149,74.761749,-0.034981,-0.086856,-0.001022,0
178,2271955722,-162.342239,-84.777199,74.607262,-0.075674,0.050883,0.013455,0
